Zaman damgası,İsim:,Gençler-Kasımpaşa,Galatasaray-Antalya,Beşiktaş-Trabzon,Başakşehir-Samsun,Kocaeli-Karagümrük,Göztepe-Gaziantep,Konya-Fenerbahçe,Eyüp-Rize,Alanya-Kayseri
07.05.2026 09:19:06,emre,1-1,3-0,2-1,2-1,2-1,2-1,1-2,2-1,1-1
07.05.2026 09:33:50,Erkan,2-1,4-0,2-1,1-1,1-1,2-0,1-2,2-1,1-2
07.05.2026 10:24:34,Ahmet,2-1,3-1,2-1,2-1,2-1,1-0,1-2,1-1,2-1
07.05.2026 11:46:25,Atakan,1-2,2-2,2-2,1-2,3-1,2-1,0-2,1-1,2-1
07.05.2026 13:42:11,Ulas,0-2,2-0,2-1,1-0,2-0,1-0,1-1,1-1,1-1
07.05.2026 15:12:10,İhsan,1-1,5-0,2-2,2-1,2-1,2-0,1-2,1-2,1-1
07.05.2026 16:37:59,Deran,1-2,2-1,1-2,2-1,2-1,2-1,1-2,1-2,2-1
07.05.2026 22:52:36,Mesut ,1-1,4-0,2-1,2-3,2-0,2-0,1-2,2-1,2-1
07.05.2026 23:29:36,Burak,1-1,3-1,1-1,2-1,2-1,2-0,1-2,2-1,1-1
07.05.2026 23:48:39,Erhan,1-1,4-0,2-2,3-1,2-1,2-1,1-1,2-1,3-1
08.05.2026 13:22:57,Yılmaz ,1-2,2-0,1-1,1-0,0-1,2-0,1-1,1-1,1-2
09.05.2026 11:05:40,sami,2-1,4-1,3-2,2-1,1-2,2-1,1-3,2-1,1-2
09.05.2026 16:06:40,Tuna Topuz,1-2,2-1,1-1,2-0,2-0,3-1,0-2,1-1,1-0
09.05.2026 17:48:47,Berke,0-1,2-0,1-1,2-1,3-0,2-1,0-3,2-1,1-1
09.05.2026 18:32:30,Özgür ,1-1,6-0,3-1,2-1,2-1,3-1,2-2,2-0,1-2
09.05.2026 19:18:15,Emir,1-0,2-1,2-1,2-1,3-1,2-0,1-2,1-2,0-1
09.05.2026 19:22:40,Alper G,3-2,2-3,1-4,1-2,2-0,3-1,1-3,0-1,0-1
